date,Research,gasage_yr_bp,co2_ppmv,sig_mean_co2_ppmv
1.8-2 kyr BP:,"Law Dome (MacFarling Meure et al., 2006)",1920,277.9,1
1.8-2 kyr BP:,"Law Dome (MacFarling Meure et al., 2006)",1949,276.7,1
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",1999.709091,278,1.2
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2093.359091,276.9,0.7
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2234.235273,276.7,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2265.549333,276.7,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2414.316667,277.6,1.3
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2526.12497,277.9,0.5
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2628.015758,273.9,1.1
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2708.475455,278.9,0.6
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2801.760667,275.3,1.6
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2904.546909,274.7,1.2
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",2948.816303,276.3,0.9
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3056.604242,274.6,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3255.728182,276.3,1.5
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3283.661576,273.1,1.1
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3431.119273,274,0.3
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3528.287879,275,0.6
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3644.462727,273.4,1.3
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3693.407697,273,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3806.85697,271.5,1
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3856.166364,275.4,0.5
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",3968.950606,274.9,1.3
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4108.666727,271.7,1
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4205.842364,271.6,0.7
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4275.076667,272.8,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4342.822424,271.5,0.9
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4494.362424,271.1,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4592.819273,269.1,0.6
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4647.462909,269.8,1
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4773.001515,271.5,0.8
2-11 kyr BP:,"Dome C (Monnin et al., 2001 + 2004)",4921.201818,270.7,0.5
